's-gravenvoeren	's-Gravenvoeren
louveigne	Louveigné
lovendegem	Lovendegem
lovenjoel	Lovenjoel
loverval	Loverval
loyers	Loyers
lubbeek	Lubbeek
luingne	Luingne
lummen	Lummen
lustin	Lustin
luttre	Luttre
maaseik	Maaseik
maasmechelen	Maasmechelen
machelen	Machelen
machelen-aan-de-leie	Machelen-aan-de-Leie
maffle	Maffle
magnee	Magnée
maillen	Maillen
mainvault	Mainvault
maisieres	Maisières
mal	Mal
maldegem	Maldegem
malderen	Malderen
malmedy	Malmédy
malonne	Malonne
manage	Manage
manderfeld	Manderfeld
manhay	Manhay
marbais	Marbais
marche-en-famenne	Marche-en-Famenne
marche-les-dames	Marche-les-Dames
marche-lez-ecaussinnes	Marche-lez-Écaussinnes
marchienne-au-pont	Marchienne-au-Pont
marchin	Marchin
marcinelle	Marcinelle
marenne	Marenne
maria aalter	Maria Aalter
mariakerke	Mariakerke
mariekerke	Mariekerke
mariembourg	Mariembourg
mark	Mark
marke	Marke
marquain	Marquain
martelange	Martelange
masnuy-saint-jean	Masnuy-Saint-Jean
massemen	Massemen
massenhoven	Massenhoven
mater	Mater
maubray	Maubray
maurage	Maurage
mazenzele	Mazenzele
mazy	Mazy
mechelen	Mechelen
mechelen-aan-de-maas	Mechelen-aan-de-Maas
mechelen-bovelingen	Mechelen-Bovelingen
meensel-kiezegem	Meensel-Kiezegem
meer	Meer
meerbeek	Meerbeek
meerbeke	Meerbeke
meerdonk	Meerdonk
meerhout	Meerhout
meerle	Meerle
meeuwen	Meeuwen
meise	Meise
meix-devant-virton	Meix-devant-Virton
meldert	Meldert
melen	Melen
melin	Mélin
melle	Melle
mellet	Mellet
melsbroek	Melsbroek
melsele	Melsele
melsen	Melsen
membach	Membach
menen	Menen
merbes-le-chateau	Merbes-le-Château
merchtem	Merchtem
mere	Mere
merelbeke	Merelbeke
merendree	Merendree
merkem	Merkem
merksem	Merksem
merksplas	Merksplas
meslin-l'eveque	Meslin-l'Évêque
messancy	Messancy
messelbroek	Messelbroek
mettet	Mettet
meulebeke	Meulebeke
meux	Meux
meyerode	Meyerode
michelbeke	Michelbeke
micheroux	Micheroux
middelkerke	Middelkerke
mielen-boven-aalst	Mielen-boven-Aalst
mignault	Mignault
millen	Millen
milmort	Milmort
minderhout	Minderhout
modave	Modave
moen	Moen
moerbeke	Moerbeke
moere	Moere
moerkerke	Moerkerke
moerzeke	Moerzeke
moha	Moha
moignelee	Moignelée
mol	Mol
molenbeek-saint-jean	Molenbeek-Saint-Jean
molenbeek-wersbeek	Molenbeek-Wersbeek
molenbeersel	Molenbeersel
molenstede	Molenstede
mollem	Mollem
momalle	Momalle
momignies	Momignies
monceau-sur-sambre	Monceau-sur-Sambre
mons	Mons
mons-lez-liege	Mons-lez-Liège
mont-saint-guibert	Mont-Saint-Guibert
mont-sainte-aldegonde	Mont-Sainte-Aldegonde
mont-sur-marchienne	Mont-sur-Marchienne
montegnee	Montegnée
montenaken	Montenaken
montignies-sur-sambre	Montignies-sur-Sambre
montigny-le-tilleul	Montigny-le-Tilleul
montzen	Montzen
moorsel	Moorsel
moorsele	Moorsele
moorslede	Moorslede
moortsele	Moortsele
mopertingen	Mopertingen
moresnet	Moresnet
morialme	Morialmé
morkhoven	Morkhoven
morlanwelz-mariemont	Morlanwelz-Mariemont
mornimont	Mornimont
mortier	Mortier
mortsel	Mortsel
mourcourt	Mourcourt
mouscron	Mouscron
moustier-sur-sambre	Moustier-sur-Sambre
muizen	Muizen
munkzwalm	Munkzwalm
munsterbilzen	Munsterbilzen
musson	Musson
mussy-la-ville	Mussy-la-Ville
naast	Naast
nalinnes	Nalinnes
nameche	Namêche
namur	Namur
naninne	Naninne
