skuhrov nad belou	Skuhrov nad Bělou
skutec	Skuteč
slany	Slaný
slapanice	Šlapanice
slatina	Slatina
slatinany	Slatiňany
slatinice	Slatinice
slavicin	Slavičín
slavkov	Slavkov
slavkov u brna	Slavkov u Brna
slavonice	Slavonice
sloupnice	Sloupnice
sluknov	Šluknov
slusovice	Slušovice
smecno	Smečno
smichov	Smíchov
smidary	Smidary
smirice	Smiřice
smrzice	Smržice
smrzovka	Smržovka
sobeslav	Soběslav
sobotin	Sobotín
sobotka	Sobotka
sokolnice	Sokolnice
sokolov	Sokolov
solnice	Solnice
spalene porici	Spálené Poříčí
spindleruv mlyn	Špindlerův Mlýn
spytihnev	Spytihněv
srubec	Srubec
stachy	Stachy
stahlavy	Šťáhlavy
stankov	Staňkov
stara hut	Stará Huť
stara paka	Stará Paka
stara ves nad ondrejnici	Stará Ves nad Ondřejnicí
